"Restaurant name","Order ID","Platform Key","Restaurant ID","Order status","Created at","Accepted at","Cancelled at","Cancellation reason","Cancellation owner","Rejected at","Rejection reason","Dispatched at","Delivered at","Address","Transport type","Payment type","Food value","Delivery Fee","Items","Preorder","Billable Status"
"Polland Hopia","g6on-b08g","FP_PH","g6on","Delivered","2020-08-18 16:09","2020-08-18 16:12","","","","","","2020-08-18 16:23","2020-08-18 16:32","Caloocan","Platform delivery","Online","402","39","1 Fresh Chinese Lumpia, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-61um","FP_PH","g6on","Delivered","2020-08-18 16:13","2020-08-18 16:15","","","","","","2020-08-18 16:23","2020-08-18 16:34","Quezon City","Platform delivery","Online","804","39","2 Kuchai Empanada 6 Pieces, 2 Fresh Chinese Lumpia","no","yes"
"Polland Hopia","g6on-n5ug","FP_PH","g6on","Delivered","2020-08-18 16:26","2020-08-18 16:26","","","","","","2020-08-18 16:30","2020-08-18 16:46","Quezon City","Platform delivery","Online","252","39","2 Siopao Bola Bola 1 Piece, 2 Mongo Special 5 Pcs","no","yes"
"Polland Hopia","g6on-m92c","FP_PH","g6on","Delivered","2020-08-18 16:28","2020-08-18 16:30","","","","","","2020-08-18 16:36","2020-08-18 16:41","Lungsod Quezon","Platform delivery","Cash","270","9","1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-w77r","FP_PH","g6on","Delivered","2020-08-18 16:44","2020-08-18 16:47","","","","","","2020-08-18 16:58","2020-08-18 17:01","Quezon City","Platform delivery","Online","700","29","2 Siopao Asado 1 Piece, 1 Siopao Bola Bola 1 Piece, 1 Fresh Chinese Lumpia, 1 Machang 1 Piece, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-8fik","FP_PH","g6on","Delivered","2020-08-18 16:46","2020-08-18 16:48","","","","","","2020-08-18 17:03","2020-08-18 17:17","Manila","Platform delivery","Cash","519","39","1 Hopia Mahu Spicy 6 Pieces, 3 Hopia Kundol 6 Pieces, 2 Ube Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-kuux","FP_PH","g6on","Delivered","2020-08-18 17:00","2020-08-18 17:07","","","","","","2020-08-18 17:15","2020-08-18 17:22","Caloocan","Platform delivery","Cash","716","0","1 Hopia Pinya 6 Pieces, 2 Kuchai Empanada 1 Piece, 1 Ube Hopia 5 Pcs, 1 Hopia Baboy (Wintermelon) 5 Pcs, 3 Fresh Chinese Lumpia","no","yes"
"Polland Hopia","g6on-wytj","FP_PH","g6on","Delivered","2020-08-19 10:27","2020-08-19 10:28","","","","","","2020-08-19 10:32","2020-08-19 10:41","Manila","Platform delivery","Cash","218","39","1 Hopia Bundle of 4 Promopack","no","yes"
"Polland Hopia","g6on-k8m7","FP_PH","g6on","Delivered","2020-08-19 11:17","2020-08-19 11:19","","","","","","2020-08-19 11:24","2020-08-19 11:39","Quezon City","Platform delivery","Online","120","39","2 Hopia Ube 4 Pieces","no","yes"
"Polland Hopia","g6on-pf7v","FP_PH","g6on","Delivered","2020-08-19 13:28","2020-08-19 13:29","","","","","","2020-08-19 13:34","2020-08-19 13:45","Quezon City","Platform delivery","Cash","218","39","1 Hopia Bundle of 4 Promopack","no","yes"
"Polland Hopia","g6on-3q4t","FP_PH","g6on","Delivered","2020-08-19 14:02","2020-08-19 14:04","","","","","","2020-08-19 14:08","2020-08-19 14:13","Quezon City","Platform delivery","Cash","270","9","1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-bgtx","FP_PH","g6on","Delivered","2020-08-19 14:33","2020-08-19 14:38","","","","","","2020-08-19 14:49","2020-08-19 15:01","Tondo Manila","Platform delivery","Cash","729","39","1 Hopia Mahu Original 6 Pieces, 1 Hopia Mongo 4 Pcs, 1 Hopia Ube 4 Pieces, 3 Hopia Baboy (Wintermelon) 5 Pcs, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-o00r","FP_PH","g6on","Delivered","2020-08-19 14:40","2020-08-19 14:49","","","","","","2020-08-19 14:54","2020-08-19 15:07","Lungsod Quezon","Platform delivery","Online","840","39","5 Mongo Special 5 Pcs, 2 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-xidi","FP_PH","g6on","Cancelled","2020-08-19 14:43","2020-08-19 14:44","2020-08-19 15:05","Unable to find customer","Customer","","","2020-08-19 14:53","","Lungsod Quezon","Platform delivery","Cash","1347","29","1 Kikiam 3 Pieces, 4 Kuchai Empanada 1 Piece, 4 Machang 1 Piece, 1 Ube Hopia 5 Pcs, 3 Siopao Asado 1 Piece, 1 Fresh Chinese Lumpia","no","yes"
"Polland Hopia","g6on-wz09","FP_PH","g6on","Delivered","2020-08-19 15:00","2020-08-19 15:01","","","","","","2020-08-19 15:06","2020-08-19 15:18","Quezon City","Platform delivery","Cash","320","39","4 Hopia Pork 4 Pieces","no","yes"
"Polland Hopia","g6on-yoqv","FP_PH","g6on","Delivered","2020-08-19 15:45","2020-08-19 15:59","","","","","","2020-08-19 16:02","2020-08-19 16:20","Caloocan","Platform delivery","Cash","359","39","1 Hopia Mahu Spicy 6 Pieces, 1 Hopia Kundol 6 Pieces, 2 Kuchai Empanada 1 Piece","no","yes"
"Polland Hopia","g6on-4syu","FP_PH","g6on","Delivered","2020-08-19 16:09","2020-08-19 16:09","","","","","","2020-08-19 16:32","2020-08-19 16:44","Manila","Platform delivery","Cash","654","39","2 Fresh Chinese Lumpia, 1 Kuchai Empanada 6 Pieces, 1 Mongo Special 5 Pcs, 1 Black Mongo Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-hpqz","FP_PH","g6on","Delivered","2020-08-19 16:43","2020-08-19 16:45","","","","","","2020-08-19 16:54","2020-08-19 17:19","Caloocan","Platform delivery","Online","536","39","3 Fresh Chinese Lumpia, 1 Mongo Special 5 Pcs, 1 Hopia Kundol 6 Pieces","no","yes"
"Polland Hopia","g6on-b74n","FP_PH","g6on","Delivered","2020-08-20 09:37","2020-08-20 09:38","","","","","","2020-08-20 09:42","2020-08-20 09:47","Quezon City","Platform delivery","Online","100","29","1 Machang 1 Piece","no","yes"
"Polland Hopia","g6on-at5u","FP_PH","g6on","Delivered","2020-08-20 10:38","2020-08-20 10:39","","","","","","2020-08-20 10:57","2020-08-20 11:07","Caloocan","Platform delivery","Cash","1590","39","10 Hopia Mahu Original 6 Pieces","no","yes"
"Polland Hopia","g6on-wnzh","FP_PH","g6on","Delivered","2020-08-20 10:49","2020-08-20 10:51","","","","","","2020-08-20 10:55","2020-08-20 10:58","Quezon City","Platform delivery","Online","450","29","3 Mongo Special 5 Pcs, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-lifp","FP_PH","g6on","Delivered","2020-08-20 10:53","2020-08-20 10:54","","","","","","2020-08-20 11:02","2020-08-20 11:13","Quezon City","Platform delivery","Online","384","39","2 Fresh Chinese Lumpia, 1 Hopia Baboy (Wintermelon) 5 Pcs, 1 Hopia Ube 4 Pieces","no","yes"
"Polland Hopia","g6on-esbp","FP_PH","g6on","Delivered","2020-08-20 12:05","2020-08-20 12:10","","","","","","2020-08-20 12:28","2020-08-20 12:43","Quezon City","Platform delivery","Online","693","39","1 Hopia Mahu Original 6 Pieces, 1 Kuchai Empanada 6 Pieces, 2 Fresh Chinese Lumpia","no","yes"
"Polland Hopia","g6on-99x7","FP_PH","g6on","Delivered","2020-08-20 12:15","2020-08-20 12:18","","","","","","2020-08-20 12:28","2020-08-20 12:51","Quezon City","Platform delivery","Cash","278","39","1 Hopia Baboy (Wintermelon) 5 Pcs, 1 Hopia Bundle of 4 Promopack","no","yes"
"Polland Hopia","g6on-cjv1","FP_PH","g6on","Delivered","2020-08-20 13:35","2020-08-20 16:54","","","","","","2020-08-20 16:58","2020-08-20 17:08","Quezon City","Platform delivery","Online","429","39","1 Hopia Mahu Original 6 Pieces, 1 Kuchai Empanada 6 Pieces","yes","yes"
"Polland Hopia","g6on-7uvj","FP_PH","g6on","Delivered","2020-08-20 14:02","2020-08-20 14:05","","","","","","2020-08-20 14:09","2020-08-20 14:15","Caloocan","Platform delivery","Cash","200","29","1 Hopia Pork 4 Pieces, 1 Mongo Special 5 Pcs, 1 Hopia Ube 4 Pieces","no","yes"
"Polland Hopia","g6on-tfi0","FP_PH","g6on","Delivered","2020-08-20 14:04","2020-08-20 14:10","","","","","","2020-08-20 14:19","2020-08-20 14:34","Caloocan","Platform delivery","Online","240","39","2 Mongo Special 5 Pcs, 1 Ube Hopia 5 Pcs, 1 Black Mongo Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-yy6s","FP_PH","g6on","Delivered","2020-08-20 14:32","2020-08-20 14:33","","","","","","2020-08-20 14:38","2020-08-20 14:48","Lungsod Quezon","Platform delivery","Cash","1085","39","1 Hopia Bundle of 4 Promopack, 1 Hopia Pork 4 Pieces, 1 Hopia Pinya 6 Pieces, 1 Hopia Baboy (Wintermelon) 5 Pcs, 1 Hopia Pineapple 6 Pcs, 1 Kuchai Empanada 6 Pieces, 1 Kikiam 3 Pieces","no","yes"
"Polland Hopia","g6on-9um1","FP_PH","g6on","Delivered","2020-08-20 14:49","2020-08-20 15:36","","","","","","2020-08-20 15:45","2020-08-20 15:56","Lungsod Quezon","Platform delivery","Online","614","39","1 Hopia Bundle of 4 Promopack, 3 Fresh Chinese Lumpia","yes","yes"
"Polland Hopia","g6on-4fgg","FP_PH","g6on","Delivered","2020-08-20 14:51","2020-08-20 14:52","","","","","","2020-08-20 14:59","2020-08-20 15:02","Quezon City","Platform delivery","Online","370","9","1 Kuchai Empanada 6 Pieces, 1 Machang 1 Piece","no","yes"
"Polland Hopia","g6on-6ttc","FP_PH","g6on","Delivered","2020-08-20 14:53","2020-08-20 14:57","","","","","","2020-08-20 15:09","2020-08-20 15:20","Quezon City","Platform delivery","Online","810","39","3 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-llyu","FP_PH","g6on","Delivered","2020-08-20 15:02","2020-08-20 15:03","","","","","","2020-08-20 15:07","2020-08-20 15:17","Quezon City","Platform delivery","Cash","120","39","2 Mongo Special 5 Pcs","no","yes"
"Polland Hopia","g6on-ymyq","FP_PH","g6on","Delivered","2020-08-20 16:37","2020-08-20 16:39","","","","","","2020-08-20 16:45","2020-08-20 17:00","Quezon City","Platform delivery","Cash","218","39","1 Hopia Bundle of 4 Promopack","no","yes"
"Polland Hopia","g6on-j53i","FP_PH","g6on","Delivered","2020-08-20 17:02","2020-08-20 17:04","","","","","","2020-08-20 17:07","2020-08-20 17:15","Lungsod Quezon","Platform delivery","Cash","270","29","1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-6npi","FP_PH","g6on","Delivered","2020-08-21 09:02","2020-08-21 09:04","","","","","","2020-08-21 09:10","2020-08-21 09:16","Quezon City","Platform delivery","Online","498","9","2 Hopia Mahu Original 6 Pieces, 3 Kuchai Empanada 1 Piece","no","yes"
"Polland Hopia","g6on-b3gy","FP_PH","g6on","Delivered","2020-08-21 09:06","2020-08-21 09:08","","","","","","2020-08-21 09:12","2020-08-21 09:24","Quezon City","Platform delivery","Cash","180","9","1 Machang 1 Piece, 1 Hopia Pork 4 Pieces","no","yes"
"Polland Hopia","g6on-8ewd","FP_PH","g6on","Delivered","2020-08-21 09:11","2020-08-21 09:13","","","","","","2020-08-21 09:25","2020-08-21 09:37","Quezon City","Platform delivery","Online","990","39","1 Kuchai Empanada 6 Pieces, 5 Fresh Chinese Lumpia, 1 Ube Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-brcb","FP_PH","g6on","Delivered","2020-08-21 09:18","2020-08-21 09:19","","","","","","2020-08-21 09:25","2020-08-21 09:30","Quezon City","Platform delivery","Online","330","39","1 Kuchai Empanada 6 Pieces, 1 Hopia Mongo 4 Pcs","no","yes"
"Polland Hopia","g6on-9pno","FP_PH","g6on","Delivered","2020-08-21 09:35","2020-08-21 09:37","","","","","","2020-08-21 09:43","2020-08-21 09:56","Quezon City","Platform delivery","Cash","120","39","1 Black Mongo Hopia 5 Pcs, 1 Ube Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-el06","FP_PH","g6on","Delivered","2020-08-21 11:11","2020-08-21 11:13","","","","","","2020-08-21 11:17","2020-08-21 11:27","Quezon City","Platform delivery","Online","488","39","1 Kuchai Empanada 6 Pieces, 1 Hopia Bundle of 4 Promopack","no","yes"
"Polland Hopia","g6on-huc6","FP_PH","g6on","Delivered","2020-08-21 11:18","2020-08-21 11:20","","","","","","2020-08-21 11:31","2020-08-21 11:36","Quezon City","Platform delivery","Online","1684","39","3 Kuchai Empanada 6 Pieces, 2 Kikiam 3 Pieces, 2 Mongo Special 5 Pcs, 2 Black Mongo Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-kpbg","FP_PH","g6on","Cancelled","2020-08-21 11:55","2020-08-21 14:09","2020-08-21 15:22","Reason:Customer didn't receive the order","Owner:Logistics","","","2020-08-21 14:15","2020-08-21 14:29","Manila","Platform delivery","Cash","270","39","1 Kuchai Empanada 6 Pieces","yes","yes"
"Polland Hopia","g6on-nnnx","FP_PH","g6on","Delivered","2020-08-21 14:59","2020-08-21 15:00","","","","","","2020-08-21 15:07","2020-08-21 15:12","Quezon City","Platform delivery","Cash","330","29","1 Kuchai Empanada 6 Pieces, 1 Ube Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-8c70","FP_PH","g6on","Delivered","2020-08-21 15:02","2020-08-21 15:03","","","","","","2020-08-21 15:07","2020-08-21 15:12","Quezon City","Platform delivery","Cash","317","29","1 Kikiam 3 Pieces","no","yes"
"Polland Hopia","g6on-4ry7","FP_PH","g6on","Delivered","2020-08-21 15:25","2020-08-21 15:27","","","","","","2020-08-21 15:30","2020-08-21 15:44","Manila","Platform delivery","Cash","270","39","1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-w9zo","FP_PH","g6on","Delivered","2020-08-21 15:40","2020-08-21 15:45","","","","","","2020-08-21 15:53","2020-08-21 16:11","Caloocan","Platform delivery","Cash","402","39","1 Asado Rolls 6 Pieces, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-6vib","FP_PH","g6on","Delivered","2020-08-21 16:19","2020-08-21 16:21","","","","","","2020-08-21 16:28","2020-08-21 16:31","Quezon City","Platform delivery","Online","180","9","2 Mongo Special 5 Pcs, 1 Black Mongo Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-o959","FP_PH","g6on","Delivered","2020-08-21 16:27","2020-08-21 16:29","","","","","","2020-08-21 16:34","2020-08-21 16:50","Quezon City","Platform delivery","Online","654","39","2 Hopia Mongo 4 Pcs, 2 Fresh Chinese Lumpia, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-m5tq","FP_PH","g6on","Delivered","2020-08-21 17:14","2020-08-21 17:25","","","","","","2020-08-21 17:33","2020-08-21 17:52","Quezon City","Platform delivery","Cash","542","39","1 Hopia Pork 4 Pieces, 1 Hopia Baboy (Wintermelon) 5 Pcs, 1 Fresh Chinese Lumpia, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-gtjm","FP_PH","g6on","Delivered","2020-08-22 10:15","2020-08-22 11:36","","","","","","2020-08-22 11:46","2020-08-22 11:54","Quezon City","Platform delivery","Online","516","39","1 Hopia Baboy (Wintermelon) 5 Pcs, 1 Ube Hopia 5 Pcs, 3 Fresh Chinese Lumpia","yes","yes"
"Polland Hopia","g6on-w82g","FP_PH","g6on","Delivered","2020-08-22 10:27","2020-08-22 10:28","","","","","","2020-08-22 10:33","2020-08-22 10:54","Quezon City","Platform delivery","Cash","1347","39","1 Hopia Mahu Original 6 Pieces, 1 Hopia Ube 4 Pieces, 1 Hopia Hapon 4 Pieces, 4 Fresh Chinese Lumpia, 2 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-20r3","FP_PH","g6on","Delivered","2020-08-22 10:46","2020-08-22 10:48","","","","","","2020-08-22 10:55","2020-08-22 11:03","Quezon City","Platform delivery","Cash","192","9","1 Kuchai Empanada 1 Piece, 1 Asado Rolls 6 Pieces","no","yes"
"Polland Hopia","g6on-js5y","FP_PH","g6on","Delivered","2020-08-22 11:12","2020-08-22 11:17","","","","","","2020-08-22 11:24","2020-08-22 11:38","Caloocan","Platform delivery","Cash","496","39","2 Hopia Bundle of 4 Promopack, 1 Hopia Pineapple 6 Pcs","no","yes"
"Polland Hopia","g6on-rtx6","FP_PH","g6on","Delivered","2020-08-22 11:21","2020-08-22 11:23","","","","","","2020-08-22 11:29","2020-08-22 11:43","Caloocan","Platform delivery","Cash","528","39","4 Fresh Chinese Lumpia","no","yes"
"Polland Hopia","g6on-lwdx","FP_PH","g6on","Delivered","2020-08-22 12:06","2020-08-22 12:07","","","","","","2020-08-22 12:16","2020-08-22 12:33","Lungsod Quezon","Platform delivery","Online","642","39","1 Hopia Mahu Original 6 Pieces, 1 Hopia Mahu Spicy 6 Pieces, 2 Asado Rolls 6 Pieces, 1 Ube Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-kxez","FP_PH","g6on","Delivered","2020-08-22 14:13","2020-08-22 14:14","","","","","","2020-08-22 14:18","2020-08-22 14:28","Quezon City","Platform delivery","Online","359","39","1 Hopia Mahu Original 6 Pieces, 1 Hopia Mongo 4 Pcs, 1 Hopia Pork 4 Pieces, 1 Mongo Special 5 Pcs","no","yes"
"Polland Hopia","g6on-el0o","FP_PH","g6on","Delivered","2020-08-22 14:59","2020-08-22 15:01","","","","","","2020-08-22 15:04","2020-08-22 15:15","Quezon City","Platform delivery","Cash","270","39","1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-slfd","FP_PH","g6on","Delivered","2020-08-22 15:18","2020-08-22 15:23","","","","","","2020-08-22 15:33","2020-08-22 15:38","Lungsod Quezon","Platform delivery","Online","1140","39","2 Kuchai Empanada 6 Pieces, 6 Machang 1 Piece","no","yes"
"Polland Hopia","g6on-68bj","FP_PH","g6on","Delivered","2020-08-22 16:04","2020-08-22 16:05","","","","","","2020-08-22 16:08","2020-08-22 16:26","Quezon City","Platform delivery","Online","429","39","1 Hopia Mahu Spicy 6 Pieces, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-jwqs","FP_PH","g6on","Delivered","2020-08-22 16:25","2020-08-22 16:27","","","","","","2020-08-22 16:34","2020-08-22 16:43","Lungsod Quezon","Platform delivery","Online","812","29","4 Mongo Special 5 Pcs, 1 Fresh Chinese Lumpia, 4 Hopia Pork 4 Pieces, 2 Hopia Hapon 4 Pieces","no","yes"
"Polland Hopia","g6on-t7u3","FP_PH","g6on","Delivered","2020-08-22 17:28","2020-08-22 17:31","","","","","","2020-08-22 17:34","2020-08-22 17:42","Quezon City","Platform delivery","Cash","300","39","4 Mongo Special 5 Pcs, 1 Black Mongo Hopia 5 Pcs","no","yes"
